s#,c#,grade
29117462,MT-34,89.0
37397886,CS-38,83.5
19339531,LF-30,77.9
37702388,HS-11,76.3
39281383,AS-36,84.5
27588284,CS-46,87.8
44151275,EE-17,65.6
41430803,EM-25,69.9
37726824,ME-52,74.0
31535551,HS-13,98.7
10192832,AS-45,74.0
27541091,AT-35,58.5
15835491,FL-02,78.1
16844562,AT-25,73.5
34571052,EE-32,75.6
18597872,AT-28,73.9
23260216,OE-08,75.9
26801590,FL-95,80.8
47421063,DA-22,72.1
43892986,DA-17,65.3
12456407,IE-07,70.1
18082907,DA-34,77.1
36605750,MV-30,66.3
36421290,MV-54,70.3
37319323,FL-14,52.8
40377990,EE-70,76.5
27913973,FL-43,91.2
10597833,MA-18,92.9
37276516,LW-25,67.0
15787812,EM-66,66.9
19365687,EM-64,91.9
32771486,CE-06,63.1
39768578,FL-32,58.1
38439383,AT-09,76.2
24494301,HS-01,77.0
22541988,MA-03,78.1
14573979,CS-10,95.1
48148956,AS-31,85.6
43290694,MA-11,75.2
33489340,CS-32,85.5
18385892,CS-40,80.7
18031862,ME-33,61.5
44500121,MT-55,75.5
12414847,MV-77,72.4
11936626,FL-86,85.8
41488115,OE-03,72.8
20599222,FL-57,63.5
45927797,AT-50,99.8
33633140,CE-32,58.4
10827065,EE-09,78.8
49219978,DA-22,78.6
37855346,CE-46,82.5
24765019,MV-15,74.0
27832501,FL-26,83.3
15014982,DA-43,66.6
25159049,EE-50,75.7
11588225,AT-18,86.6
46542973,EE-56,80.9
24860472,LF-22,78.4
35727737,OE-18,67.1
43688944,DA-28,99.5
32831344,MA-12,87.8
21009833,AS-26,83.2
49541875,DA-42,96.4
28329366,ME-58,76.4
14715851,CE-38,67.2
29541663,FL-70,66.9
16483243,EM-68,68.8
25911774,FL-64,87.4
41387714,EM-38,69.9
43073750,FL-89,70.4
48857662,OE-16,76.3
34025441,MV-75,77.5
20216779,AT-25,75.6
34059205,LF-32,78.3
38685575,MT-31,62.2
19393751,OE-18,99.7
42817540,FL-49,80.7
34059205,LW-02,92.1
47720097,MV-75,78.2
39098570,AS-02,98.0
17665258,AT-41,96.5
35480521,AS-47,77.1
14079954,DA-08,87.3
43684325,CS-39,81.3
40071046,EE-55,68.6
28166201,DA-07,68.7
11516852,OE-12,79.0
34980442,HS-08,85.2
23850719,EE-64,95.6
24098749,FL-66,88.0
19744145,CS-44,76.5
49122111,FL-58,74.0
30648145,EM-33,89.7
21861444,MT-30,77.7
12413660,EM-37,88.5
28865797,DA-72,52.4
49941542,ME-03,82.3
45776656,ME-10,99.7
17191856,ME-49,90.9
48100602,FL-29,91.3
28087044,MA-17,78.4
12065463,DA-12,83.0
49122111,IE-02,69.2
38293452,AT-19,75.3
26365654,MV-42,76.6
18143494,CS-25,94.0
39737409,IE-05,95.6
20141298,DA-33,87.1
32468614,EM-41,83.2
23559794,AT-32,77.1
47941727,CS-57,64.1
16341973,ME-22,79.2
41778008,EE-93,65.8
24160259,CS-16,80.8
20368989,DA-05,96.7
39873735,EM-12,79.7
26292152,CS-36,75.6
37488263,FL-83,70.3
27088768,AT-18,51.7
19563121,LF-37,82.1
24011635,LW-08,61.0
40214249,EM-10,67.7
35940810,EE-58,71.2
44039789,EE-29,68.6
47643132,IE-01,81.1
40562892,EE-47,75.8
48740069,AT-43,86.7
38396662,MV-01,57.0
19626335,EM-68,81.8
22648659,LW-02,69.7
30769970,MV-53,79.6
45040471,EM-58,71.0
33348164,AT-14,73.6
43065516,CE-33,61.8
21008001,HS-12,75.2
38431460,FL-74,82.7
13250910,FL-36,89.5
25934323,MT-01,88.9
16294195,EE-38,82.2
19742723,AT-05,87.7
35268568,LW-04,69.8
25082690,FL-46,85.5
23101713,MV-46,89.1
11765167,FL-28,64.5
25730496,EE-81,84.0
42483440,DA-67,77.4
11408339,MV-71,82.7
39683850,MT-18,84.3
35530918,EM-06,72.1
11785318,OE-16,76.8
44440824,DA-30,66.9
41330541,LF-23,66.7
18978096,PH-06,70.9
41615652,MV-35,75.9
34902897,MA-16,69.4
38742755,AS-52,82.8
19873221,CS-30,85.2
46197778,OE-31,57.5
42794669,CS-37,86.4
29025704,AS-37,71.4
22277688,AT-50,63.4
44289578,DA-23,77.9
15110972,AT-52,79.1
21654066,EE-47,74.6
34399795,AT-46,75.4
12709922,LF-35,79.8
38597890,MV-78,95.8
44991278,AT-38,60.1
30641032,CE-18,95.9
29058481,EE-61,73.4
13660398,FL-60,64.1
43155861,EM-07,73.3
21472075,EE-37,59.8
22224934,MV-09,67.1
49548033,DA-25,70.0
28139945,FL-01,78.5
26344097,EE-76,91.8
36908948,ME-16,68.4
35161504,AT-44,74.6
29525814,ME-26,75.0
46915823,MA-22,79.4
16374552,FL-62,86.7
42577747,EM-43,77.3
15858350,FL-75,80.0
42278127,CS-19
38295916,LF-10,80.9
48418767,MA-22,68.1
38395913,AS-46,82.5
40591736,CS-23,84.0
36291505,CS-51,89.2
44621123,MA-13,74.8
27159822,LF-12,60.3
28269065,FL-81,83.2
39014206,EM-62,75.7
21635609,ME-35,98.6
28050863,CS-31,75.5
38108347,CE-37,84.1
15671209,DA-42,86.2
16618338,DA-08,93.3
42146964,CS-33,80.8
24975350,MA-14,91.7
11448016,MA-05,69.7
37527837,AT-31,96.2
44500121,MV-02,98.1
27913973,CS-40,54.5
23321134,FL-34,89.9
45776656,ME-41,83.1
31840112,ME-16,89.7
22634797,EM-52,72.4
22467890,ME-56,91.2
29908283,EE-95,75.1
38694016,MT-44,71.6
29451857,CS-36,78.0
26189261,TL-04,69.8
19339531,FL-16,82.1
10614160,MV-32,61.0
16427403,OE-14,85.5
29767133,MT-11,78.4
24919338,MV-56,95.2
29119103,MT-13,86.6
43446676,MT-03,90.0
34962233,DA-57,82.0
46178017,CS-12,97.3
26882430,OE-03,89.4
47795841,AT-05,70.8
42124634,MT-32,75.9
49896094,ME-02,67.1
29710295,HS-05,65.7
19203600,PH-15,90.7
28851794,MT-37,68.3
34139832,PH-01,76.4
35702535,EM-63,57.9
27344017,EE-94,98.1
43597569,EE-11,74.8
34426804,EE-50,67.3
12721947,AS-35,99.7
44296676,CS-56,84.4
20126677,MV-31,94.4
29025704,EE-43,88.0
32412329,CE-44,91.7
16098279,OE-23,65.6
14624100,AT-03,94.4
44621123,EE-53,81.7
23993233,MV-08,64.1
15046613,CE-16,92.2
42934747,CE-25,64.7
17029868,CS-15,83.9
31140979,EE-57,57.5
14487822,FL-60,79.6
22097085,DA-49,88.6
46513397,DA-44,75.6
42316786,CE-48,93.5
43684325,FL-44,66.0
17948564,MT-03,80.0
38366798,CE-37,78.6
34014133,AT-31,91.0
29772785,CS-06,94.4
46255925,CS-43,75.0
18599302,FL-48,91.4
42700677,CS-10
32569088,AT-36,87.8
20640291,DA-70,72.8
41778689,MT-34,84.9
24497818,OE-25,90.1
21955519,HS-12,79.5
42324404,CS-37,77.1
24118734,HS-13,81.9
15270996,ME-32,92.5
42698993,LW-20,83.5
26365654,ME-64,63.9
16165095,EE-22,87.3
24860472,CS-12,92.5
33125817,FL-85,68.5
36877234,HS-02,84.1
40161674,FL-03,75.5
32581710,MT-45,75.4
42700677,CE-47,90.2
28287255,LF-03,89.1
15570329,EE-71,78.6
22395987,EE-41,74.3
19957409,FL-63,86.9
16742736,EM-15,88.1
24041541,HS-11,89.2
32049533,IE-02,97.6
39056074,EM-59,82.4
13136874,EM-28,80.1
36917632,CS-07,66.2
47424893,MT-06,98.5
14063087,ME-39,79.4
10974514,MV-42,96.3
23032458,DA-19,74.1
17009567,EM-35,81.1
48812889,CE-11,79.2
29525814,MT-48,84.1
17545016,AT-43,87.3
35336845,CS-14,90.7
35329886,AS-56,69.3
19432960,EM-14,91.8
47421063,DA-36,91.3
17948564,AS-27,72.5
18073965,CS-64,74.1
44779619,EE-77,70.1
19037905,MV-12,68.4
17040296,AS-40,70.5
32478892,MV-41,53.1
30549610,OE-30,97.8
27332081,EE-26,79.8
29505075,ME-12,63.5
29657733,HS-17,88.1
47732306,MV-86,80.3
41676398,EM-15,76.0
34572500,EE-14,73.4
43047066,MT-55,88.6
32427353,AT-39,75.5
39363226,OE-17,87.9
47818603,ME-47,78.4
38796510,FL-46,91.9
11760698,EM-55,90.7
45912234,CE-07,90.9
41237801,EM-46,99.8
29647031,MV-84,73.3
49053153,EM-18,71.5
30917980,EE-11,68.6
20644317,MT-31,59.7
25410819,EE-62,93.5
32126556,CE-11,81.0
23880212,MA-14,68.0
17320044,DA-34,64.0
42220004,FL-72,62.1
32291899,MT-20,95.6
20970656,MV-80,83.9
22467890,AS-22,80.4
49970278,LF-06,90.4
47675788,EM-22,73.5
49630598,ME-13,86.9
42020788,EE-18,66.6
31104040,MV-17,83.4
31128236,MV-46,88.6
20339711,EE-06,70.4
18652588,ME-64,99.7
24491071,ME-50,62.6
38715228,MV-35,88.5
34940585,MT-21,62.1
40158260,MV-86,85.4
20117141,MV-32,83.7
27758429,EE-19,84.9
23650504,AS-35,90.8
39311410,DA-28,70.9
20439138,LW-10,77.6
40977265,MV-78,72.0
15769251,EE-83,96.9
42146964,EM-42,81.9
35501248,CE-05,69.3
15882406,ME-04,69.8
39896234,DA-42,69.1
38694016,CS-22,82.6
10121689,ME-38,56.8
16237387,ME-14,86.1
28072985,PH-13,73.5
47313720,FL-68,83.2
26701261,CE-06,83.6
17103386,EM-27,84.8
39688507,DA-06,92.0
43955003,EM-54,84.3
35293771,OE-27,80.8
26475089,FL-83,71.7
28100249,AT-16,88.4
47621617,AS-44,90.6
11627578,EE-64,63.9
37664416,FL-52,67.7
40120578,ME-46,81.6
33127475,EE-48,96.5
41457633,HS-22,63.5
33831088,CE-34,84.4
43521436,MV-39,70.3
46077845,ME-42,70.9
29071054,FL-70,80.6
22648659,EE-43,75.9
41325561,MT-26,90.3
20368989,DA-48,75.4
16341973,MV-71,78.7
17213619,LW-25,64.2
44735155,EM-67,91.8
18067734,EE-44,67.6
21563776,HS-19,79.2
38673890,AS-23,87.4
45328725,FL-50,91.1
21463869,MV-56,68.8
30862607,PH-09,75.3
44915365,AS-06,77.6
42943468,DA-13,67.8
20994942,MA-09,81.4
35953816,ME-08,73.4
23016021,EE-33,92.8
24306153,FL-38,79.8
48833374,MT-04,68.0
19465011,MT-26,82.3
27244558,CE-33,96.7
40364772,EM-34,73.6
18308093,OE-26,66.3
43254886,MA-13,61.7
10817943,LW-09,81.4
12853910,DA-34,85.6
21469216,EM-31,84.9
40325204,MV-40,77.6
33411729,IE-06,87.7
28045503,MT-39,76.0
38594163,AT-21,84.8
19432960,OE-13,70.3
18227292,EM-25,69.3
41514035,CS-58,76.7
19289519,CS-61,89.0
19432960,EE-74,70.8
28441567,AS-08,63.1
22698379,MA-13,71.6
33752324,ME-20,73.6
12746763,MX-05,86.4
40996695,EM-61,85.9
34257112,TL-04,80.2
16984829,EE-47,77.4
11752720,MV-28,86.0
11760698,MX-02,91.9
29854569,CE-06,83.3
29828247,EE-27,66.7
17715420,AS-01,95.9
34598611,CS-12,67.0
10995702,CE-21,76.3
46122309,DA-44,81.8
18652588,AS-04,66.8
25919617,AS-04,71.5
35459397,EM-13,75.5
40803168,EE-69,85.6
23292708,FL-56,70.4
47501769,DA-36,89.4
48705442,MV-79,61.1
36808052,MA-23,87.4
41064096,MX-01,72.4
22806275,EE-52,70.0
24970257,FL-51,88.4
10883166,MT-49,84.9
23579664,LF-32,88.2
14292829,DA-40,75.2
39153318,FL-43,60.7
12335233,HS-01,87.5
47313720,LW-15,52.5
44340998,MV-01,72.2
23827791,CS-60,92.7
39683850,CS-31,77.4
20751725,HS-20,77.1
41488337,CE-25,75.9
19400742,ME-22,81.5
21914980,DA-17
23558246,OE-15,75.7
45623235,LW-16,76.8
37932836,FL-23,78.7
34978977,EM-22,89.7
29466256,EE-67,71.0
48019955,AT-27,87.1
15876469,LF-09,73.2
14904945,AT-53,65.8
19912927,AS-10,88.4
31685994,MV-04,78.7
14926147,DA-57,86.7
18543970,CS-12,74.3
18760261,FL-21,65.0
10885621,MV-64,93.1
30805769,AS-36,72.3
33114654,LF-37,72.1
43671676,PH-07,90.6
45996054,FL-75,68.8
23260216,CS-25,75.4
34360681,PH-09,93.8
33299574,OE-29,95.7
27143650,MV-69,81.6
16806501,EM-24,98.8
44910410,FL-03,78.4
19875306,FL-74,79.2
32641076,CE-15,75.3
30034756,DA-31,84.2
26215266,MV-70,87.7
11439685,AS-24,83.9
22097085,LF-24,56.5
46144975,AS-13,83.1
35265310,LW-03,78.4
35581752,ME-11,81.8
25234847,FL-56,94.1
13907104,EM-51,84.5
18972650,MV-54,72.8
25416513,AT-39,71.8
16221562,MT-08,80.2
17702283,AT-22,99.1
24491071,MT-14,77.0
29312638,CE-13,69.6
44996502,DA-25,93.9
29119103,FL-03,78.4
24122394,AS-19,79.4
24505702,HS-05,74.2
20856579,FL-59,93.6
41632744,AS-37,76.3
23512361,CS-25,64.7
12134731,EM-18,85.6
28991351,EE-27,74.1
49085853,MT-09,77.2
47025997,FL-58,91.6
39943364,FL-71,98.3
37943576,MV-44,86.9
24743934,MT-06,61.1
10264728,AT-01,82.8
35995383,ME-03,77.5
38797679,EM-53,79.7
34426804,LW-17,88.4
18073965,AS-24,87.2
45158480,CS-26,61.6
12134731,FL-02,80.5
46374782,CS-54,67.9
47450643,DA-38,88.4
25948580,AT-09,79.5
13237922,MX-05,64.8
40325558,DA-59,69.8
24919338,DA-73,71.6
28458953,FL-14,86.6
28353640,DA-31,86.6
46077845,AT-48,80.1
16505591,LW-05,89.5
19037905,EE-86,77.3
35435123,LW-23,95.9
48061855,AS-17,96.4
43521436,FL-68,85.4
39737409,OE-14,62.3
40984192,MT-27,76.8
49548033,ME-16,95.6
28698483,MX-05,68.7
22682818,MV-74,66.3
29968600,LF-07,74.6
29700738,EE-70,86.3
22536682,EE-42,76.1
13060374,CE-50,66.0
29854569,ME-27,81.6
27484095,DA-65,94.8
13083895,FL-45,80.8
30800611,ME-48,92.8
30357690,MV-74,83.4
24850914,EE-79,84.1
42198137,AS-33,85.8
40685504,EE-45,78.0
23371328,DA-45,95.5
27557709,MV-44,52.7
32847510,EM-67,82.7
20716725,DA-50,89.1
10362783,ME-56,76.6
38280749,LF-32,90.1
41387714,MV-68,84.7
40325558,CE-36,92.8
31331504,TL-03,84.8
13251356,LW-02,76.5
33348164,MV-48,77.0
24092529,EE-18,89.9
15230552,CS-35,84.9
40280248,HS-12,90.4
26797106,MT-17,80.7
18978096,EM-64,78.2
19941555,LF-24,56.0
27037810,MT-20,94.1
31331504,EM-38,78.5
47294658,CS-29,92.3
30656361,MT-09,82.4
10980125,AS-29,83.4
31685994,OE-15,83.4
46097454,CS-14,65.3
18199464,DA-12,78.0
21066510,MA-21,82.9
30898431,FL-25,70.2
37007319,DA-01,96.7
29779863,DA-11,88.1
34072652,EM-43,81.2
25187309,AT-49,99.6
17527801,CS-55,72.8
16003439,MA-01,57.9
44472981,AS-41,71.5
35120600,EM-40,91.5
25192713,AT-16,64.5
42050738,MA-16,94.9
26475089,DA-44,69.9
46419647,DA-57,75.5
14491894,MA-07,78.2
18162018,CE-32,77.7
22806275,LW-24,71.7
15272720,FL-25,68.0
19630308,AT-06,92.2
32278364,FL-58,71.1
14614999,EE-38,79.8
35434929,MT-17,81.7
34951699,HS-19,87.7
13660398,HS-01,74.2
30512327,MV-47,62.8
32945415,EM-57,90.0
36455422,AT-52,93.9
32471312,EE-79,83.6
18597872,FL-92,79.8
16618338,FL-50,76.9
19011713,MV-81,87.6
46102612,EM-60,68.8
32270126,FL-13,95.0
46050062,DA-47,91.5
16956561,CS-19,76.4
19250058,AS-49,75.8
46021083,AS-05,64.3
11648042,LF-41,87.0
35765496,AT-31,72.3
35967173,MT-04,78.7
17980890,DA-57,74.8
28520354,LF-02,77.8
23789612,ME-27,73.2
47012802,LF-22,70.3
45757676,CE-12,80.6
35304798,HS-13,68.8
15963104,CS-28,72.8
24743934,CS-64,68.7
32260108,EM-21,63.9
19203600,AS-16,76.1
46901542,DA-47,79.0
17983138,AS-48,91.7
37350825,MV-79,87.5
25234847,EE-58,86.6
27612226,LW-17,76.6
16881297,AT-28,87.5
33119962,FL-40,79.4
35727737,EE-19,59.9
42577747,OE-13,91.7
14908648,CE-50,89.2
19516508,EE-57,92.0
30269661,CE-04,84.0
25089035,EM-62,82.2
33385349,AT-03,61.7
26546800,DA-37,87.7
22634797,MV-21,76.2
23989281,AS-11,83.1
26344293,EE-61,83.4
44509932,FL-01,72.2
13550406,DA-37,74.0
11561920,MT-34,87.6
33968060,MA-10,83.5
14908648,FL-12,71.1
30751003,MT-19,80.8
34794124,AS-23,52.1
11135031,EE-49,90.1
24455914,EM-20,70.4
29079688,CS-21,94.1
38227264,AS-31,85.1
22874776,MT-16,70.7
23993233,MT-37,82.7
45617088,FL-84,93.7
28274420,PH-04,87.9
36942380,EM-46,75.5
47450643,EE-83,79.5
19030015,MT-13,87.8
34633442,DA-71,80.1
39566896,EE-35,82.5
15402522,AT-36,82.5
16410870,HS-27,63.8
27509511,MT-37,73.1
22389548,MT-32,81.2
27832501,MV-85,80.8
41482865,EM-29,70.8
39466700,LW-11,74.2
34987045,DA-09,75.9
37276516,FL-04,78.3
30494369,FL-15,82.1
29155244,MV-49,90.6
15356348,ME-57,64.6
11168172,MV-39,74.6
40996695,CS-23,86.5
18135260,AT-40,83.2
27802484,AS-43,68.9
15110972,ME-25,70.4
44621123,FL-84,73.3
19837486,CS-31,64.5
34616189,AT-25,79.9
26489365,CE-10,74.8
45267736,HS-12,72.3
21635609,OE-30,86.3
43521436,DA-23,66.5
41625231,LW-29,67.3
16468487,ME-06,88.7
33385349,CS-15,85.6
33151834,CS-55,95.7
41680024,DA-70,93.9
38366798,FL-14,67.2
27238403,MT-04,90.8
18078909,AS-06,71.2
28959552,MV-49,79.3
44433010,EM-40,83.8
23435909,ME-04,93.2
15438816,DA-40,58.0
40546978,LF-07,73.8
46031258,AS-53,85.0
36958403,FL-39,98.6
40028191,MA-26,88.1
41031196,AS-48,66.4
37852219,CS-45,75.9
44901134,EM-65,74.2
31357627,LF-24,91.7
36925128,CS-38,93.0
43735335,CS-10,58.0
36127657,MT-28,82.9
47754920,EE-95,73.1
42050738,OE-25,83.1
35496325,ME-52,95.5
39960775,FL-60,76.0
10087995,AS-04,71.1
21175657,EE-39,84.8
49822184,DA-65,98.9
35866496,DA-05,85.0
30419714,MV-02
37251656,FL-95,59.2
30148051,LW-27,77.8
22560315,ME-50,84.6
23529431,DA-22,83.7
15956736,EE-85,81.6
26189261,ME-03,88.8
48100010,AT-20,74.7
22389548,EM-34,84.5
31944167,FL-45,71.1
18849622,LF-27,76.1
20336952,LF-11,76.3
32334710,LW-02,84.3
46325016,AT-09,68.7
27470370,CS-29,88.2
41327958,EE-16,69.5
14825999,OE-12,80.1
24026185,CS-40,69.2
40217161,OE-12,85.6
42027686,EM-24,92.8
10041805,EM-53,90.8
29951124,LW-14,83.5
17427300,DA-07,70.2
41561523,DA-43,76.7
49681839,EM-54,70.2
19465011,MA-25,62.3
41657430,CE-07,97.2
47931607,HS-21,89.3
46607647,EE-71,74.7
42251522,AT-51,61.9
33382017,LF-27,83.9
40946337,CE-06,75.2
37387184,AT-10,78.2
19856385,FL-49,87.5
43745174,EE-69,70.4
20427223,LF-07,59.1
22648659,DA-52,64.2
44389735,AT-19,70.0
21973633,FL-18,73.3
12416256,DA-42,70.9
25782982,EE-35,96.3
22196129,FL-15,66.8
23845831,CE-25,88.7
39740029,DA-70,61.2
38796510,FL-10,83.6
11402982,CS-49,84.9
45853796,ME-27,72.3
34361149,LW-22,82.7
19242692,DA-57,92.6
38007482,ME-27,95.4
42908967,FL-47,83.0
28408407,DA-03,63.1
36322518,CE-13,77.7
18074426,DA-42,69.0
38586053,LF-01,78.7
42469253,DA-67,72.9
34962233,AS-07,87.6
45864963,AT-28,96.9
15270996,DA-11,81.5
15174834,DA-06,72.4
27069079,MT-29,64.7
22280341,MT-37,75.5
37834602,EE-32,84.6
38303194,DA-73,69.1
44422269,MA-19,87.6
17119563,CS-09,56.4
13824243,EM-02,92.0
38673890,FL-93,76.7
36812927,CE-27,71.1
35422841,ME-43,80.9
18135260,DA-05,80.8
38027567,AS-19,73.0
44766383,EE-70,77.2
30917980,EE-09,77.2
39833328,FL-78,72.1
34576009,LW-20,86.3
49506046,EE-46,95.4
42772943,MV-28,97.5
41310787,FL-19,53.0
42934747,DA-51,90.5
23189623,CS-17,75.7
35265310,MV-57,76.0
40371793,MT-08,75.9
23714856,LF-17,80.3
14487822,EE-06,77.3
14699511,AT-03,72.6
37903317,EM-24,83.4
38977495,OE-14,86.4
42251522,FL-29,88.7
43671676,AT-44,97.8
43073750,MV-76,68.3
46770485,CS-43,91.2
15689977,MT-18,86.4
36339240,MV-63,78.9
21494899,EE-67,67.3
36449807,ME-63,69.1
32359300,OE-18,78.0
22009759,AT-28,88.6
28551789,LF-20,72.9
37358558,AS-21,79.7
16734472,HS-08,96.6
14624100,LW-02,98.2
47424893,DA-14,75.0
18746520,LF-09,88.4
49204003,EE-20,66.3
10575655,EE-07,77.3
12815239,AS-28,96.2
48852327,EE-06,71.7
20324380,EE-47,77.4
27242738,LF-06,94.1
14157689,LW-10,91.5
37726824,IE-02,88.1
19218103,TL-01,76.7
17707195,CS-49,63.8
12303791,EM-51,81.9
36250926,MV-49,70.8
26407213,CE-48,75.9
48121556,CE-35,81.2
37338709,EM-23,69.9
19239875,FL-56,94.2
16805071,CS-17,82.0
47675788,AS-07,75.0
12793441,MA-21,67.3
38144720,PH-01,84.6
26706262,DA-39,66.4
44795096,EM-34,69.7
38273689,FL-33,94.7
17346351,HS-01,62.4
23693569,ME-40,79.7
25217980,PH-09,87.6
25924179,DA-27
11765167,CE-17,86.6
15488238,FL-17,74.4
48603766,MV-77,59.6
12616707,CE-42,77.2
16125939,AS-43,83.9
20227639,TL-01,96.8
33516456,EM-34,87.9
34943322,MV-86,75.8
49645317,EM-64,95.4
30549610,EM-11,82.5
18221337,CS-50,76.2
26701261,LW-12,81.2
27509511,MV-44,69.9
18449351,MT-25,90.2
12871677,MV-06,96.7
31866265,ME-59,85.4
29735585,CS-62,51.5
28658759,DA-72,97.4
21251263,MT-54,97.7
48056302,MX-02,67.9
33179221,CE-36,81.0
36322286,DA-59,84.8
37050922,FL-75,66.0
28520354,FL-69,60.7
27508016,AT-13,96.2
20039568,FL-05,86.7
16294195,MT-29,81.4
24335568,EE-43,76.2
47059116,DA-22,78.4
17001326,MT-20,80.3
15689518,FL-41,62.7
30439305,AS-49,66.7
42057539,FL-67,76.3
38526920,LF-12,75.0
16202979,AS-39,74.9
25590699,OE-03,88.6
40039871,AS-52,87.3
30725125,EM-48,89.8
18195451,DA-63,70.3
27955921,DA-45,85.1
16956561,FL-08,91.6
16003439,FL-20,67.8
25242186,MT-43,95.2
46283000,DA-48,91.6
35464550,MT-35,96.8
24160259,DA-65,84.2
27368917,AT-03,84.1
37943576,MV-13,99.3
16697834,MV-58,87.6
31443499,ME-55,75.3
48148956,LF-29,89.9
25192713,EE-10,96.4
34025441,EM-08,78.8
41328122,AT-09,84.0
49968293,AS-23,89.8
40685504,EE-62,90.9
31816841,AT-03,71.4
23149587,LW-09,80.4
19634284,MA-11,74.1
28003078,DA-03,71.1
42687383,MT-28,93.0
46281255,AT-45,80.8
40214249,EE-37,71.3
24942450,AS-47,76.4
49985506,FL-27,74.1
43776146,DA-73,70.0
38871336,EE-37,88.1
45119199,EM-21,72.3
38027567,MV-70,87.8
28544442,ME-31,75.0
22389548,MV-24,86.2
21432011,MT-48,84.4
37972573,ME-44,84.4
16199935,MT-05,71.2
27490471,AS-28,58.4
44289578,HS-26,63.0
25836355,CE-02,57.3
47403603,AT-04,89.5
27830265,HS-02,77.4
30320571,AS-27,93.3
36349367,CS-42,85.9
42550254,LF-32,60.1
44033467,OE-06,72.2
47501769,DA-31,60.6
10385411,AT-32,99.0
43483678,EE-70,90.3
21354690,ME-50,69.5
16371103,CS-52,71.4
26181952,PH-02,75.8
16844562,CS-41,72.0
33966275,DA-44,86.4
32831344,CE-38,67.6
38509328,CE-50,79.1
14968820,LW-15,76.2
45623235,EM-25,79.8
34319018,DA-59,70.1
16775480,CS-55,66.8
27039771,MT-37,70.2
25948855,FL-08,64.0
16187889,CE-23,81.0
33151834,LW-18,96.3
43669545,MT-15,88.8
29241022,FL-42,73.2
13144392,AT-45,91.4
38615455,EE-93,78.1
13060374,CE-08,94.4
46896833,OE-06,92.3
13779014,CE-23,80.4
39961194,AS-32,80.4
19466755,EE-24,89.4
41005279,ME-41,77.4
23999242,EE-09,72.8
15292002,DA-48,75.0
25921048,FL-40,61.3
27470370,AT-07,84.3
26675419,ME-10,70.4
44366508,DA-58,85.9
27169017,FL-33,81.6
40421239,TL-04,75.2
12886943,TL-02,84.5
39701513,AT-53,65.9
45701952,LW-11,71.6
34067300,MV-55,68.3
40686573,CE-30,83.4
21609864,ME-16,80.7
30455668,FL-89,89.3
38108347,CE-02,84.4
11832065,FL-43,74.9
29503287,FL-74,71.8
44463000,EE-15,80.0
13353233,EE-71,86.3
36328293,MT-02,92.8
25919617,MT-21,77.7
11555730,AS-36,57.7
11063467,MV-05,69.3
23693569,AS-10,76.0
39422240,EE-10,71.0
13752135,EM-46,80.1
38868276,EM-43,84.9
43374003,IE-07,73.9
15815761,CE-03,80.8
16165095,EE-28,81.2
25523489,CE-39,73.1
36936057,EE-67,83.5
42149326,IE-07,95.6
49110119,CS-16,66.6
29105568,AT-44,87.9
27255609,MV-03,75.5
19037905,OE-16,83.5
35008835,HS-31,77.0
41778008,DA-68,81.9
34267575,EE-30,86.7
37072211,MV-31,92.4
24300908,IE-06,61.8
32734156,DA-49,80.1
48655882,ME-20,88.2
33127475,ME-11,80.5
17166721,MA-22,86.5
21469216,MA-17,76.0
15629849,ME-45,79.7
18797215,EE-95,99.0
34496593,MV-26,72.5
22634797,OE-05,61.3
47197469,FL-76,74.1
20005878,ME-60,72.6
27755624,DA-45,83.2
20994942,DA-27,67.5
41579714,FL-58,74.9
33641621,MV-11,84.9
19847486,EM-59,86.0
35765496,OE-24,99.5
47274763,EM-25,60.7
45119199,HS-09,90.2
32830668,MV-08,80.4
40291027,MV-32,84.1
31803086,AT-25,85.8
29472209,OE-10,71.6
27064464,ME-51,68.0
11648042,FL-89,68.9
27323966,EM-04,93.8
31020415,AT-18,83.0
27509141,EE-71,66.9
12886943,CE-23,61.3
26112583,CS-36,77.2
26424966,DA-24,89.1
30603425,LF-32,84.9
43188190,DA-75,66.2
26618999,EM-24,60.5
36372769,DA-15,77.2
38017452,EE-68,82.9
42283900,EM-19,90.3
46959294,EM-64,79.2
38727702,CS-18,77.2
44073875,MV-58,69.1
43603513,MT-33,80.9
29017409,DA-21,70.6
26364467,ME-41,92.3
15636949,LW-17,81.4
18978096,PH-13,94.0
13705275,LW-29,70.3
35384061,ME-49,92.0
14699333,DA-18,91.1
46279606,PH-12,79.8
45978482,ME-20,75.3
23235690,DA-01,81.9
34107002,CS-43,83.4
32294123,FL-03,91.5
17663048,DA-29,81.3
13083895,LW-17,93.4
22125720,OE-10,91.1
38860473,MV-15,80.0
40371142,LF-13,81.3
23957771,AT-48,86.0
44980908,CE-06,86.1
20288242,MV-38,75.3
20661738,HS-23,74.1
38490053,FL-72,86.7
41503483,ME-60,90.2
25782982,CE-31,81.5
17752774,LF-34,78.0
20039568,ME-11,64.1
19030015,CE-05,80.0
42689026,EM-54,92.3
44701601,DA-62,60.9
21449064,HS-18,80.4
26955681,EE-42,63.5
43597569,EE-57,82.0
42289509,MV-15,88.0
15975502,CS-59,74.2
36873848,MT-47,88.4
48398660,CE-36,71.9
33119962,FL-08,61.4
